"--No Frame--","--Brak Ramki--"
"--Create new--","--Utwórz nowy--"
"--Don't sync--","--Nie synchronizuj--"
"API key","Klucz API"
"API username","Użytkownik API"
"Add thumbnails to XML","Dodaj miniaturki zdjęć do XML-a"
"Attribute mapping","Mapowanie atrybutów"
"Author field in Products XML","Pole 'autor' w XML-u z produktami"
"Plugin","Wtyczka QON"
"Configuration","Konfiguracja"
"Could not log in. Check your credentials and try again.","Nie udało się zalogować. Sprawdź poprawność danych i spróbuj ponownie."
"Disable if your SKUs are longer than 20 characters","Wyłącz, jeżeli Twoje SKU mają więcej niż 20 znaków"
"Feed history","Historia połączeń"
"Feed URLs","URL-e feedów"
"Get Placements","Wczytaj Ramki"
"Load placement snippets from your QuarticON account","Załaduj aktualną listę ramek ze swojego konta QuarticON"
"Magento Attribute","Atrybut w Magento"
"Minimal product quantity for status equals 1","Minimalny stan magazynowy produktu, żeby jego status był równy 1"
"Quartic attributes map","Mapowanie atrybutów dla feedu"
"Quartic Attribute","Atrybut w XML"
"Quartic Catalog Name","Synchronizowany katalog Quartica"
"Quartic feed URLs","URL-e feedów Quartic"
"Quartic Orders URL","URL feeda z zamówieniami"
"Quartic Products URL","URL feeda z produktami"
"Recommendations","Rekomendacje"
"Recommendations will be get for random product from a category","Rekomendacje zostaną wygenerowane dla losowego produktu z kategorii"
"Category page frames will show recommendations related to random product instead of recommendations related to whole category","Ramki na stronie kategorii będą pokazywać rekomendacje oparte na losowym produkcie, a nie na całej kategorii"
"Show disabled products in XML feed?","Czy pokazywać w feedzie XML produkty ze statusem 'Nie'?"
"Show only products in stock","Pokazuj tylko produkty na stanie w magazynie"
"Store ID","ID sklepu"
"The placements have been synchronised.","Ramki zostały zsynchronizowane."
"This value is used for API authenthication","Ta wartość jest używana do połączenia z kontem QuarticON"
"This value is used for the feeds URLs generation","Ta wartość jest używana do tworzenia URL-i feedów"
"Unique Hash","Unikalny hash"
"Use product frame on category page","Użyj ramki produktowej na stronie kategorii"
"Use SKU","Używaj SKU"
"Register","Zarejestruj się"
"Customer","Klient"
"Register to obtain values for customer login and key configuration fields","Załóż konto lub zaloguj się, by uzyskać dane do wypełnienia pól konfiguracji"

"Send Transaction History","Wyślij historię transakcji"
"Send transaction history to your QuarticON account","Wysyła listę zrealizowanych zamówień na twoje konto QuarticON"

"Enabled","Aktywne"
"&#9654; Enabled","&#9654; Aktywne"
"%s Enabled","%s Aktywne"
"Yes","Tak",
"No","Nie"

"Recommendation frames","Ramki z rekomendacjami"
"Recommendation frames - Homepage","Ramki rekomendacji - strona główna"
"Recommendation frames - Category","Ramki rekomendacji - strona kategorii"
"Recommendation frames - Product","Ramki rekomendacji - strona produktu"
"Recommendation frames - Cart","Ramki rekomendacji - koszyk"

"Homepage","Strona główna"
"Homepage - template","Strona główna - szablon"
"Homepage - place","Strona główna - umiejscowienie"
"HomePage","Strona Główna"

"Category page","Strona kategorii"
"Category page - template","Strona kategorii - szablon"
"Category page - place","Strona kategorii - umiejscowienie"
"CategoryPage","Strona Kategorii"

"Product page","Karta Produktu"
"Product page - template","Karta produktu - szablon"
"Product page - place","Karta produktu - umiejscowienie"
"ProductPage","Karta produktu"

"Cart","Koszyk"
"Cart - template","Koszyk - szablon"
"Cart - place","Koszyk - umiejscowienie"
"CartPage","Koszyk"

"Top","Nagłówek"
"Left","Po lewej"
"Bottom","Stopka"
"Middle","Środek"
"Right","Po prawej"
"Composite products","Produkty złożone"
"Price type of configurable product","Typ ceny produktu konfigurowalnego"
"Configurable children products","Produkty proste przypisane do konfigurowalnych"
"Configurable children product image","Obrazek produktów prostych przypisanych do konfigurowalnych"
"Configurable children product price","Cena produktów prostych przypisanych do konfigurowalnych"
"Redirect simple product to configurable","Przekieruj produkt prosty do konfigurowalnego"
"Grouped product price","Cena produktu grupowego"
"Grouped children product image","Obrazek produktów prostych przypisanych do grupowych"
"Redirect simple product to grouped","Przekieruj produkt prosty do grupowego"
"Standard configurable product price","Standardowa cena produktu konfigurowalnego"
"Minimum price","Cena minimalna"
"Do not show","Nie pokazuj"
"Show if possible","Pokaż jeśli to możliwe"
"Get from simple product","Pobierz z produktu prostego"
"Get from parent product","Pobierz z produktu nadrzędnego"
"Minimum from simple products","Minimalna z produktów prostych"
"Maximum from simple products","Maksymalna z produktów prostych"
"Product visibility in feed","Widoczność produktów wysyłanych do feeda"
"Exclude from Quarticon feed","Wyłącz z feeda Quarticon"